time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.555576388204301e-07,-3.9771953991646084e-08,10.00821535284899,6.283140286258966,0.00038762647905254966,0.0,-4.634793847461481e-05,-4.145415623809094e-06,0.27381919942423466,-0.002295082318052066,0.016979377516888015,0.0,487.58887690231245,488.8554159171947,489.7690345004246,489.5983551540158
0.12000000000000001,-1.5516615959116003e-05,-1.5830655830079622e-06,10.028284807033277,2.0847652915989556e-05,0.0012129475289421876,0.0,-0.0005502886288131356,-5.0293239142845074e-05,0.39512772622044456,0.007141933761337365,0.006369395554783722,0.0,444.47963770022415,443.6092972622133,442.9800376465136,443.75523065829117
0.18,-8.059254382011206e-05,-1.7556597596939913e-06,10.059357143014928,0.0007163485422232441,0.0015157866453048285,0.0,-0.0016612595900097546,0.00011546848676174807,0.6405113166765388,0.01926618392120187,0.0022624619024932575,0.0,480.59999571575673,480.2885718936111,481.1392752347515,482.05605177199266
0.23999999999999996,-0.00021404811588010845,2.5639479301933486e-05,10.10210648189574,0.0018967049257492263,0.0013680323500322444,0.0,-0.002788913655090647,0.0009243798199635514,0.7843783587726217,0.020473243854581977,-0.01416106908736876,0.0,451.2157546395511,449.888161720862,451.4942225398974,451.591542503648
0.3,-0.0004114641990189332,0.00013548116188144592,10.156434039984594,0.003963980789225552,0.00037948150784128387,0.0,-0.0036788938800200108,0.0029504257272820822,1.0263541713019835,0.0533861406132452,-0.02156154770356179,0.0,481.0774184932788,480.51691402434454,478.93503202104483,481.4318198778292
0.36000000000000004,-0.0006350306405483226,0.00040656146920696587,10.221011752315237,0.007054217525822359,6.28194862674159,0.0,-0.0036280822874759605,0.00640632591958361,1.1261412806238205,0.04744707110122417,-0.0407518927953897,0.0,438.7068141521503,437.11043487424774,438.1520790979809,437.6598436609722
0.4200000000000001,-0.0008188305992182214,0.0009472618415555633,10.291452183306042,0.010442964512216157,6.280120491729335,0.0,-0.002287658491105812,0.011936652945780363,1.221772419690743,0.07021668096625569,-0.015303245243812097,0.0,436.00373776299483,438.124041086251,435.5845995217537,437.4865400380375
0.48000000000000015,-0.0008872135659720316,0.0019072033372486915,10.36861110838599,0.016012256712229167,6.2797454553108505,0.0,7.183062449665843e-05,0.02059982175432749,1.3500419831473376,0.1185454835609793,0.007515797276023373,0.0,446.09430683272564,447.9536453510051,445.5742062308831,449.513682408886
0.5400000000000001,-0.0008053129538133423,0.003545699137545814,10.455178590375965,0.023171287537476104,6.28049901870056,0.0,0.002586626074609677,0.03483060854331265,1.5352953917495944,0.1208161425595103,0.02110710352171174,0.0,464.3049766554458,465.369832148079,465.03608711688213,465.2260162936525
0.6000000000000002,-0.0005991287175355385,0.006154604364613519,10.550812425888088,0.03013000460348003,6.282452624735367,0.0,0.004110698444822631,0.05287384642215415,1.65231792224296,0.10394099882135313,0.04898588796566695,0.0,443.75340806513384,446.03621767125566,445.10407568521856,443.7328972261117
0.6600000000000003,-0.0003481706155923116,0.010128738964113608,10.657891938012638,0.03679560882447319,0.0016708860486582822,0.0,0.0038998196252734776,0.08040290312838747,1.9165670731080198,0.12251296342554918,0.008663123093485563,0.0,490.308242032853,487.30411449356706,488.3539207946439,489.74666648745443
0.7200000000000003,-0.0001547927773004644,0.015792393687020016,10.777183533210742,0.04502118490365081,0.0032803238227545606,0.0,0.0024161802285629272,0.1092303380194214,2.0595369746240664,0.15656503231190172,0.04934858971673951,0.0,452.32320654224304,455.5878723584955,452.7294295779873,455.4770031202581
0.7800000000000004,-9.112924530028863e-05,0.02332873232038383,10.904095979389217,0.054326156754759936,0.006864213987431533,0.0,-0.000638474415840018,0.1429401439133444,2.170622255019459,0.15194459904161475,0.07500475573775793,0.0,443.25781568428107,445.36350473377473,445.40334973895983,445.0480157285369
0.8400000000000004,-0.00029163595693866096,0.03308530399990496,11.037724760645473,0.06325081229915241,0.011192170690099701,0.0,-0.006503420336757245,0.18320399617888197,2.2833896510308076,0.14143109456991693,0.06566477775503123,0.0,446.30812837389544,445.5491755266681,446.20154529345746,445.3630975584805
0.9000000000000005,-0.0008986260106717281,0.045255581737708196,11.175220210555041,0.07160864868666739,0.014963591676219856,0.0,-0.014076017746512685,0.2232238206832533,2.2996989830980143,0.13465185746361552,0.05655238606060634,0.0,415.3334097312371,414.536610577399,415.78305076559485,415.208186344921
0.9600000000000005,-0.0020799290324790246,0.060226180031011434,11.317082973939584,0.07934961215619474,0.01799281180318779,0.0,-0.025643101309422628,0.2766192828933751,2.428717186416059,0.11431059537236385,0.03419647040470711,0.0,452.80005950673853,450.9995487577286,452.3883274348585,450.76222112662845
1.0200000000000005,-0.00409788596542156,0.0789220621560807,11.471125381231806,0.08572583249837162,0.020391449994670907,0.0,-0.041899034360661044,0.3473841705833743,2.7053280130409205,0.08091317241565815,0.04956750061525505,0.0,494.9771924949042,496.1076740663789,497.62610112964416,495.18357072833237
1.0800000000000005,-0.007095899533764342,0.10176339058632793,11.638797557109532,0.0910424976397115,0.023626629063792315,0.0,-0.058380345108881286,0.4145329408874122,2.8832384936428728,0.1007264802060523,0.06144526112872192,0.0,469.00155349372505,469.92489615966264,467.2694096419986,468.81736978182533
1.1400000000000006,-0.011209547154413638,0.128946783958924,11.819154428872066,0.09706528413743776,0.027172462990360025,0.0,-0.07917373770740957,0.4922601307463269,3.127918049781375,0.09967775622827608,0.05393302726095027,0.0,489.59648003347695,489.03932983953047,489.3576293302141,489.2872441332575
